timestamp,source,goal_id,goal_status,selected_action,reward,success,state_vector,action_probs,model_name,is_searching
1751759213,manual,manual_tracking,active,0,1,TRUE,"[1.0, 0.6180405616760254, 0.0360546875, 0.0, 0.0, 0.0, 81.61710500717163, 0.0, 0.878125, 0.4119718309859155, 0.0027157722288393407, 0.0, -1.0, 0.0, 0.0]",,,TRUE
1751759214,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.5070898532867432, 0.19921875000000003, 0.05859375000000001, 0.06458333333333333, 0.16316406250000004, 0.5708794593811035, 0.0, 0.7609375, 0.286875, 0.024150525666482278, 0.08720226191737772, -1.0, 0.878125, 0.0]",,,TRUE
1751759214,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.8571187853813171, 0.244921875, 0.021093749999999994, -0.02291666666666664, 0.04570312499999998, 0.4626021385192871, 0.0, 0.71875, 0.3229665071770335, 0.059042008128744786, 0.031146747826596755, -1.0, 0.7609375, 0.0]",,,TRUE
1751759215,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.8687716722488403, 0.22587239583333335, -0.010937499999999989, 0.0, -0.01904947916666666, 0.4600796699523926, 0.0, 0.740625, 0.29784688995215314, 0.05089755543927217, 0.010937499999999989, -1.0, 0.71875, 0.0]",,,TRUE
1751759215,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.858581006526947, 0.24823567708333333, 0.012499999999999983, 0.001041666666666663, 0.022363281249999978, 0.43762803077697754, 0.0, 0.715625, 0.32577565632458233, 0.060608968160111555, 0.012543327686241957, -1.0, 0.740625, 0.0]",,,TRUE
1751759216,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.8274257779121399, 0.25580729166666666, 0.004687500000000011, 0.003124999999999989, 0.00757161458333333, 0.42549872398376465, 0.0, 0.70625, 0.3373205741626794, 0.062175579520223734, 0.005633673867912486, -1.0, 0.715625, 0.0]",,,TRUE
1751759216,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.7372676730155945, 0.2478515625, 0.0, 0.011458333333333348, -0.007955729166666647, 0.46540403366088867, 0.0, 0.70625, 0.34814814814814815, 0.05367780251668591, 0.011458333333333348, -1.0, 0.70625, 0.0]",,,TRUE
1751759217,manual,manual_tracking,active,0,1,TRUE,"[1.0, 0.7923611402511597, 0.270703125, 0.024999999999999994, 0.030208333333333337, 0.022851562499999978, 0.4833357334136963, 0.0, 0.65625, 0.4365079365079365, 0.07373253139812731, 0.03921152130149731, -1.0, 0.70625, 0.0]",,,TRUE
1751759217,manual,manual_tracking,active,0,1,TRUE,"[1.0, 0.8754792809486389, 0.30515624999999996, 0.04609374999999999, 0.04375000000000001, 0.03445312499999997, 0.4668900966644287, 0.0, 0.5640625, 0.6227678571428571, 0.11646417943316918, 0.06355073791123515, -1.0, 0.65625, 0.0]",,,TRUE
1751759217,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.534066915512085, 0.41070963541666666, 0.07109375000000001, -0.0010416666666667185, 0.1055533854166667, 0.41700100898742676, 0.0, 0.421875, 0.813782991202346, 0.12680965377888545, 0.0711013808481027, -1.0, 0.5640625, 0.0]",,,TRUE
1751759218,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.8490793704986572, 0.6005240885416667, 0.13359375, -0.018749999999999933, 0.18981445312500006, 0.4628782272338867, 0.0, 0.1546875, 1.1898826979472141, 0.4310186011748702, 0.13490312279210773, -1.0, 0.421875, 0.0]",,,TRUE
1751759218,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.9712783694267273, 0.7423372395833334, 0.07812499999999994, 0.0031249999999999334, 0.1418131510416667, 0.5301079750061035, 0.0, -0.0015625, 1.3344972067039107, 0.7198895159653204, 0.07818747501997997, -1.0, 0.1546875, 0.0]",,,TRUE
1751759219,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.9894212484359741, 0.6511067708333332, 0.07109375000000007, -0.021874999999999978, -0.09123046875000018, 0.5224044322967529, 0.0, -0.14375, 1.126027397260274, 0.5516124109164713, 0.07438304184464702, -1.0, -0.0015625, 0.0]",,,TRUE
1751759220,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.991615355014801, 0.5461100260416667, 0.07890624999999996, -0.008333333333333304, -0.10499674479166654, 0.5113658905029297, 0.0, -0.3015625, 0.8852785145888594, 0.3782256188213296, 0.07934507378222631, -1.0, -0.14375, 0.0]",,,TRUE
1751759220,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.9894850850105286, 0.408037109375, 0.09062500000000007, -0.012500000000000011, -0.1380729166666667, 0.6156604290008545, 0.0, -0.4828125, 0.6476377952755905, 0.20881271219810968, 0.09148300730190287, -1.0, -0.3015625, 0.0]",,,TRUE
1751759221,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.9887957572937012, 0.26637369791666665, 0.06562499999999993, 0.036458333333333315, -0.14166341145833333, 0.4755992889404297, 0.0, -0.6140625, 0.5501497005988024, 0.10165176256499156, 0.07507230311136348, -1.0, -0.4828125, 0.0]",,,TRUE
1751759243,manual,manual_tracking,active,0,1,TRUE,"[0.0, 0.5574649572372437, 0.34954427083333334, -0.171875, -0.25625, 0.08317057291666669, 22.435174703598022, 0.0, -0.2703125, 1.4459745762711864, 0.14218594451649552, 0.30855320144992826, -1.0, -0.6140625, 0.0]",,,TRUE
