timestamp,source,goal_id,goal_status,selected_action,reward,success,state_vector,action_probs,model_name
1751946467,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 159.34, 0.0]",,
1751946469,manual,manual_search,active,2,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 158.77, 0.0]",,
1751946469,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 198.15, 0.0]",,
1751946470,manual,manual_search,active,2,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 107.22, 0.0]",,
1751946470,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 108.11, 0.0]",,
1751946471,manual,manual_search,active,4,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.07, 0.0]",,
1751946473,manual,manual_search,active,1,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 62.37, 0.0]",,
1751946473,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 63.08, 0.0]",,
1751946478,manual,manual_search,active,1,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 165.96, 0.0]",,
1751946479,manual,manual_search,active,4,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 131.11, 0.0]",,
1751946480,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 93.91, 0.0]",,
1751946482,manual,manual_search,active,2,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 92.59, 0.0]",,
1751946483,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 92.23, 0.0]",,
1751946485,manual,manual_search,active,0,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.67, 0.0]",,
1751946487,manual,manual_tracking,active,3,1.0,True,"[0.0, 0.9602258801460266, 0.678271484375, -0.06406249999999997, 0.001041666666666663, -0.12306315104166676, 0.5786716938018799, 0.0, 0.3171875, 0.6811064718162839, 0.44471157038760334, 0.06407096827498739, 94.63, 0.0]",,
1751946488,manual,manual_tracking,active,0,1.0,True,"[0.0, 0.7274923324584961, 0.60216796875, -0.028906250000000022, -0.001041666666666663, -0.058951822916666674, 0.5904088020324707, 3.0, 0.3921875, 0.6072175732217574, 0.26626599010280916, 0.02892501267946041, 120.94, 0.3171875]",,
1751946488,manual,manual_tracking,active,4,1.0,True,"[1.0, 0.9648613929748535, 0.66751953125, 0.03125, 0.004166666666666652, 0.06535156249999996, 0.5674037933349609, 0.0, 0.3296875, 0.6731171548117154, 0.43172403253430086, 0.03152655406337824, 123.86, 0.3921875]",,
1751946489,manual,manual_tracking,active,2,1.0,True,"[0.0, 0.8295649290084839, 0.6330533854166667, -0.01640625000000001, -0.003124999999999989, -0.034466145833333295, 0.5541877746582031, 4.0, 0.3625, 0.6356993736951984, 0.3347887902914954, 0.016701217442524972, 110.53, 0.3296875]",,
1751946490,manual,manual_tracking,active,0,1.0,True,"[0.0, 0.673855185508728, 0.6410677083333334, 0.004687500000000011, -0.001041666666666663, 0.008014322916666705, 0.5646383762359619, 2.0, 0.353125, 0.6464435146443515, 0.2794414609411906, 0.004801846071506723, 36.82, 0.3625]",,
1751946490,manual,manual_search,active,4,1.0,True,"[-1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.353125, 0.0, 0.0, 0.0, 65.32, 0.353125]",,
1751946491,manual,manual_tracking,active,1,1.0,True,"[1.0, 0.8543882966041565, 0.55, 0.39999999999999997, 0.002083333333333326, -0.09106770833333333, 1.1075875759124756, 4.0, -0.446875, 0.55, 0.25992093960754575, 0.4000054253104297, 52.53, 0.353125]",,
